no,document,category
1,종가집 외식용 열무김치 10kg/본사직영,식품
2,팔공산 명품배추김치 5kg,식품
3,100% 국산 열무김치 4kg /아삭 풋풋한 김치,식품
4,조선호텔 포기김치 8kg,식품
5,총각김치 태백하늘 총각김치5kg 국산100%,식품
6,성주 꿀 참외 5kg내외 가정용,식품
7,성주참외 11kg랜덤3시간 타임세일특가,식품
8,썬플러스 고당도 세척사과 2.5kg가정용,식품
9,성주 고당도 참외11k랜덤 쿠폰가20720원 최저,식품
10,스테비아 미니흑완숙토마토 1kg/쿠폰8720원,식품
11,항공직송 킹사이즈 캘리포니아 생체리 1kg,식품
12,썬골드키위 점보 사이즈 22개입+4개+스푼,식품
13,제스프리 썬골드키위 점보사이즈 2.8kg,식품
14,100% 당도선별 수박8KG이상통,식품
15,산지직송 당도선별 가정용 성주참외 5kg 랜덤 GAP인증,식품
16,제스프리 골드키위16과 2set구매시 추가 4과,식품
17,신선농장성주참외1.2KG 봉,식품
18,100% 당도선별 수박6KG이상 통,식품
19,엠파크 캘리포니아 블랙라벨 달콤 오렌지 11kg,식품
20,예산 애플수박 프리미엄 대과2과 2kg내외/ 20% 15920원,식품
21,성주꿀참외 특가11kg 20700 과수랜덤,식품
22,햇 성주 참외 가정용 랜덤 7kg 실중량 특가 GAP인증,식품
23,산지대통령 개별포장 숙성 한라봉3kg중소과 + 500g덤,식품
24,달콤한 홈런스타 멜론 고당도 메론 5kg,식품
25,수창이네 마켓 초특가 행사 9kg소과쿠폰15920원,식품
26,고당도 꿀 수박 5kg내외,식품
27,고당도 제스프리 썬골드키위 점보사이즈 2.4kg,식품
28,털보네사과 가정용흠과 9kg 내외 / 갈아먹능금 9kg,식품
29,성주 참외 가정용 랜덤 10kg 대한민국 최저가,식품
30,제스프리썬골드키위7-10입 팩,식품
31,성주 꿀 참외 5kg내외 가정용,식품
32,수창이네마켓 성주 참외 가정용 8kg 한입 쿠폰가18320,식품
33,아침이슬사과 가정용 부사 9kg 꼬마 쿠폰15920,식품
34,시그니처 그래놀라 440g 3병,식품
35,대한농산 스테비아 대추방울 토망고 500gX4팩,식품
36,신선특별시)당도선별 하우스 수박,식품
37,명품찰토마토 10kg소과,식품
38,이레뜰 경북 이레뜰 세척사과 4.5kg 2박스 / 9kg,식품
39,태국산 골드 망고 5kg,식품
40,다담농산 성주참외 5kg /면책/한정판매,식품
41,HB 블랙라벨오렌지 미국산 _8-12입 봉 2.1KG내외,식품
42,HB 초고당도수박7KG이상 통,식품
43,제스프리 썬골드키위 4.1kg 3132개입 내외,식품
44,프리미엄 얼스메론 특과 4kg 총 2과 / 20%할인22800원,식품
45,달콤시원수박 7호,식품
46,성주참외 4.5kg/소꼬마 20-35과 GAP 햇 참외/가정용,식품
47,대추방울 토마토 5kg내외,식품
48,성주꿀참외 3시간특가11900원 4.5KG실중량 가정용랜덤,식품
49,다담농산 성주참외 7kg/면책/타임세일,식품
50,제스프리 썬골드키위 특대사이즈 2.8kg,식품
51,산지직송 성주참외 랜덤 가정용 9kg 실중량 타임세일,식품
52,털보네사과 고당도 꿀사과 9kg,식품
53,당도보장 꿀달콤 제주 카라향 2kg,식품
54,산지직송 경북 성주 참외 10kg 당도선별,식품
55,체리 미국 400G 팩,식품
56,썬골드키위 점보 사이즈 29개입+5개+스푼,식품
57,샤인달콤마토 스테비아 대추방울 토마토 500gx2,식품
58,사과10kg..부사선물 사과10kg 대과,식품
59,달콤 함안 수박 정품 꿀수박5-6kg내외 특가판매,식품
60,토망고 스테비아 방울토마토 2kg 당도보장,식품
61,성주 꿀 참외 5kg내외 가정용,식품
62,대추방울토마토 5kg 4번과 대용량,식품
63,올즈마켓 무지개망고 중대과 2.5kg,식품
64,성주 꿀 참외 5kg내외 가정용,식품
65,썬플러스 고당도 세척사과 2.5kg가정용 1+1,식품
66,제스프리 썬골드키위 특대사이즈 3.8kg,식품
67,방울토마토 대추방울토마토 5kg 3~4번과/정품 당도선별,식품
68,수박,식품
69,고당도DOLE 스위티오송이 필리핀,식품
70,성주 꿀 참외 10kg못난이/흠과/실금/열과,식품
71,떨이농산 싸다 햇 부사 실중량 10kg 쥬스용 크기랜덤,식품
72,프리미엄 고당도 꿀수박 가정용 제철과일 5-6kg,식품
73,특등급 GAP 인증 경북 포항 죽장산 세척사과 3.5kg 2,식품
74,당도보장 꿀달콤 제주 카라향 4kg,식품
75,털보네사과 특고당 꿀사과 9kg,식품
76,사과10kg..부사선물 사과10kg가정용,식품
77,단마토 정품 스테비아토마토 대추방울토마토 700gx2팩,식품
78,고당도 촌아저씨 꿀찬 성주참외 5kg 랜덤과,식품
79,프리미엄 고당도 그린키위 40과,식품
80,진짜성주꿀참외 대용량특가11kg 랜덤과,식품
81,아삭아삭 청송꿀사과 정품만 실중량 9kg 28~34과 특가,식품
82,제스프리 뉴질랜드 썬골드키위 개당 150g내외 5.7kg,식품
83,달콤한수박 5호,식품
84,오늘은 플렉스 국내산 대추방울토마토 2kg 4번,식품
